MassSpectroType_AMU006_Output_EngineeringUnits,110,Variable
MassSpectroType_AMU006_Units,111,Variable
MassSpectroType_AMU006_Error,112,Variable
MassSpectroType_AMU007,113,Object
MassSpectroType_AMU007_Mass,114,Variable
MassSpectroType_AMU007_Mass_Definition,115,Variable
MassSpectroType_AMU007_Mass_ValuePrecision,116,Variable
MassSpectroType_AMU007_Mass_InstrumentRange,117,Variable
MassSpectroType_AMU007_Mass_EURange,118,Variable
MassSpectroType_AMU007_Mass_EngineeringUnits,119,Variable
MassSpectroType_AMU007_Output,120,Variable
MassSpectroType_AMU007_Output_Definition,121,Variable
MassSpectroType_AMU007_Output_ValuePrecision,122,Variable
MassSpectroType_AMU007_Output_InstrumentRange,123,Variable
MassSpectroType_AMU007_Output_EURange,124,Variable
MassSpectroType_AMU007_Output_EngineeringUnits,125,Variable
MassSpectroType_AMU007_Units,126,Variable
MassSpectroType_AMU007_Error,127,Variable
MassSpectroType_AMU008,128,Object
MassSpectroType_AMU008_Mass,129,Variable
MassSpectroType_AMU008_Mass_Definition,130,Variable
MassSpectroType_AMU008_Mass_ValuePrecision,131,Variable
MassSpectroType_AMU008_Mass_InstrumentRange,132,Variable
MassSpectroType_AMU008_Mass_EURange,133,Variable
MassSpectroType_AMU008_Mass_EngineeringUnits,134,Variable
MassSpectroType_AMU008_Output,135,Variable
MassSpectroType_AMU008_Output_Definition,136,Variable
MassSpectroType_AMU008_Output_ValuePrecision,137,Variable
MassSpectroType_AMU008_Output_InstrumentRange,138,Variable
MassSpectroType_AMU008_Output_EURange,139,Variable
MassSpectroType_AMU008_Output_EngineeringUnits,140,Variable
MassSpectroType_AMU008_Units,141,Variable
MassSpectroType_AMU008_Error,142,Variable
MassSpectroType_AMU009,143,Object
MassSpectroType_AMU009_Mass,144,Variable
MassSpectroType_AMU009_Mass_Definition,145,Variable
MassSpectroType_AMU009_Mass_ValuePrecision,146,Variable
MassSpectroType_AMU009_Mass_InstrumentRange,147,Variable
MassSpectroType_AMU009_Mass_EURange,148,Variable
MassSpectroType_AMU009_Mass_EngineeringUnits,149,Variable
MassSpectroType_AMU009_Output,150,Variable
MassSpectroType_AMU009_Output_Definition,151,Variable
MassSpectroType_AMU009_Output_ValuePrecision,152,Variable
MassSpectroType_AMU009_Output_InstrumentRange,153,Variable
MassSpectroType_AMU009_Output_EURange,154,Variable
MassSpectroType_AMU009_Output_EngineeringUnits,155,Variable
MassSpectroType_AMU009_Units,156,Variable
MassSpectroType_AMU009_Error,157,Variable
MassSpectroType_AMU010,158,Object
MassSpectroType_AMU010_Mass,159,Variable
MassSpectroType_AMU010_Mass_Definition,160,Variable
MassSpectroType_AMU010_Mass_ValuePrecision,161,Variable
MassSpectroType_AMU010_Mass_InstrumentRange,162,Variable
MassSpectroType_AMU010_Mass_EURange,163,Variable
MassSpectroType_AMU010_Mass_EngineeringUnits,164,Variable
MassSpectroType_AMU010_Output,165,Variable
MassSpectroType_AMU010_Output_Definition,166,Variable
MassSpectroType_AMU010_Output_ValuePrecision,167,Variable
MassSpectroType_AMU010_Output_InstrumentRange,168,Variable
MassSpectroType_AMU010_Output_EURange,169,Variable
MassSpectroType_AMU010_Output_EngineeringUnits,170,Variable
MassSpectroType_AMU010_Units,171,Variable
MassSpectroType_AMU010_Error,172,Variable
MassSpectroType_AMU011,173,Object
MassSpectroType_AMU011_Mass,174,Variable
MassSpectroType_AMU011_Mass_Definition,175,Variable
MassSpectroType_AMU011_Mass_ValuePrecision,176,Variable
MassSpectroType_AMU011_Mass_InstrumentRange,177,Variable
MassSpectroType_AMU011_Mass_EURange,178,Variable
MassSpectroType_AMU011_Mass_EngineeringUnits,179,Variable
MassSpectroType_AMU011_Output,180,Variable
MassSpectroType_AMU011_Output_Definition,181,Variable
MassSpectroType_AMU011_Output_ValuePrecision,182,Variable
MassSpectroType_AMU011_Output_InstrumentRange,183,Variable
MassSpectroType_AMU011_Output_EURange,184,Variable
MassSpectroType_AMU011_Output_EngineeringUnits,185,Variable
MassSpectroType_AMU011_Units,186,Variable
MassSpectroType_AMU011_Error,187,Variable
MassSpectroType_AMU012,188,Object
MassSpectroType_AMU012_Mass,189,Variable
MassSpectroType_AMU012_Mass_Definition,190,Variable
MassSpectroType_AMU012_Mass_ValuePrecision,191,Variable
MassSpectroType_AMU012_Mass_InstrumentRange,192,Variable
MassSpectroType_AMU012_Mass_EURange,193,Variable
MassSpectroType_AMU012_Mass_EngineeringUnits,194,Variable
MassSpectroType_AMU012_Output,195,Variable
MassSpectroType_AMU012_Output_Definition,196,Variable
MassSpectroType_AMU012_Output_ValuePrecision,197,Variable
MassSpectroType_AMU012_Output_InstrumentRange,198,Variable
MassSpectroType_AMU012_Output_EURange,199,Variable
MassSpectroType_AMU012_Output_EngineeringUnits,200,Variable
MassSpectroType_AMU012_Units,201,Variable
MassSpectroType_AMU012_Error,202,Variable
MassSpectroType_AMU013,203,Object
MassSpectroType_AMU013_Mass,204,Variable
MassSpectroType_AMU013_Mass_Definition,205,Variable
MassSpectroType_AMU013_Mass_ValuePrecision,206,Variable
MassSpectroType_AMU013_Mass_InstrumentRange,207,Variable
MassSpectroType_AMU013_Mass_EURange,208,Variable
MassSpectroType_AMU013_Mass_EngineeringUnits,209,Variable
MassSpectroType_AMU013_Output,210,Variable
MassSpectroType_AMU013_Output_Definition,211,Variable
MassSpectroType_AMU013_Output_ValuePrecision,212,Variable
MassSpectroType_AMU013_Output_InstrumentRange,213,Variable
MassSpectroType_AMU013_Output_EURange,214,Variable
MassSpectroType_AMU013_Output_EngineeringUnits,215,Variable
MassSpectroType_AMU013_Units,216,Variable
MassSpectroType_AMU013_Error,217,Variable
MassSpectroType_AMU014,218,Object
MassSpectroType_AMU014_Mass,219,Variable
MassSpectroType_AMU014_Mass_Definition,220,Variable
MassSpectroType_AMU014_Mass_ValuePrecision,221,Variable
MassSpectroType_AMU014_Mass_InstrumentRange,222,Variable
MassSpectroType_AMU014_Mass_EURange,223,Variable
MassSpectroType_AMU014_Mass_EngineeringUnits,224,Variable
MassSpectroType_AMU014_Output,225,Variable
